fsa,probable,vulnerable,is_most_recent,fever_chills_shakes,cough,shortness_of_breath,any_medical_conditions,travel_outside_canada,contact_with_illness,symptoms,conditions,needs
M2H,0.0,0.23076923076923078,0.8846153846153846,0.0,0.0,0.0,1.0,0.0,0.0,,,
M2J,0.015625,0.234375,0.84375,0.0,0.046875,0.03125,1.0,0.0,0.015625,,,
M2K,0.02564102564102564,0.10256410256410256,0.6923076923076923,0.0,0.0,0.0,1.0,0.02564102564102564,0.02564102564102564,,,
M2M,0.0,0.12195121951219512,0.7804878048780488,0.024390243902439025,0.0,0.0,1.0,0.0,0.0,,,
M2N,0.006666666666666667,0.22,0.78,0.02666666666666667,0.06,0.013333333333333334,1.0,0.006666666666666667,0.006666666666666667,,,
M2R,0.024390243902439025,0.3170731707317073,0.7804878048780488,0.0,0.0,0.0,1.0,0.0,0.024390243902439025,,,
M3A,0.03225806451612903,0.43548387096774194,0.6935483870967742,0.016129032258064516,0.03225806451612903,0.0,1.0,0.0,0.016129032258064516,,,
M3C,0.017543859649122806,0.3157894736842105,0.7368421052631579,0.07017543859649122,0.05263157894736842,0.0,1.0,0.017543859649122806,0.0,,,
M3H,0.022222222222222223,0.28888888888888886,0.8888888888888888,0.022222222222222223,0.022222222222222223,0.06666666666666667,1.0,0.0,0.0,,,
M3J,0.0,0.16666666666666666,0.7857142857142857,0.07142857142857142,0.0,0.0,1.0,0.0,0.0,,,
M3M,0.0,0.38461538461538464,0.6923076923076923,0.0,0.0,0.0,1.0,0.0,0.0,,,
M3N,0.0,0.15384615384615385,0.6923076923076923,0.0,0.0,0.0,1.0,0.0,0.0,,,
M4C,0.019230769230769232,0.19230769230769232,0.75,0.0,0.0,0.009615384615384616,1.0,0.0,0.019230769230769232,,,
M4E,0.0,0.27058823529411763,0.7647058823529411,0.0,0.011764705882352941,0.011764705882352941,1.0,0.0,0.0,,,
M4H,0.15384615384615385,0.3076923076923077,0.8461538461538461,0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,0.0,0.0,,,
M4J,0.03296703296703297,0.2087912087912088,0.7912087912087912,0.02197802197802198,0.03296703296703297,0.01098901098901099,1.0,0.01098901098901099,0.02197802197802198,,,
M4K,0.008547008547008548,0.36752136752136755,0.7521367521367521,0.0,0.0,0.008547008547008548,1.0,0.008547008547008548,0.008547008547008548,,,
M4L,0.023529411764705882,0.18823529411764706,0.8235294117647058,0.011764705882352941,0.011764705882352941,0.011764705882352941,1.0,0.0,0.011764705882352941,,,
M4M,0.011764705882352941,0.2235294117647059,0.7058823529411765,0.011764705882352941,0.0,0.011764705882352941,1.0,0.0,0.011764705882352941,,,
M4P,0.0,0.21212121212121213,0.8939393939393939,0.0,0.045454545454545456,0.0,1.0,0.0,0.0,,,
M4S,0.03225806451612903,0.3655913978494624,0.8064516129032258,0.06451612903225806,0.06451612903225806,0.07526881720430108,1.0,0.0,0.010752688172043012,,,
M4V,0.014084507042253521,0.23943661971830985,0.676056338028169,0.014084507042253521,0.04225352112676056,0.0,1.0,0.014084507042253521,0.014084507042253521,,,
M4X,0.0,0.30303030303030304,0.7575757575757576,0.0,0.0,0.0,1.0,0.0,0.0,,,
M4Y,0.016260162601626018,0.3170731707317073,0.8455284552845529,0.024390243902439025,0.04065040650406504,0.032520325203252036,1.0,0.04065040650406504,0.016260162601626018,,,
M5A,0.04697986577181208,0.2483221476510067,0.7516778523489933,0.026845637583892617,0.026845637583892617,0.026845637583892617,1.0,0.0,0.026845637583892617,,,
M5M,0.017543859649122806,0.24561403508771928,0.8245614035087719,0.0,0.0,0.017543859649122806,1.0,0.0,0.017543859649122806,,,
M5R,0.023255813953488372,0.3488372093023256,0.8023255813953488,0.0,0.0,0.011627906976744186,1.0,0.011627906976744186,0.023255813953488372,,,
M5T,0.0,0.2,0.775,0.05,0.0,0.05,1.0,0.025,0.0,,,
M5V,0.0055248618784530384,0.17679558011049723,0.850828729281768,0.0,0.027624309392265192,0.022099447513812154,1.0,0.0,0.0055248618784530384,,,
M6A,0.0,0.25,0.95,0.0,0.0,0.0,1.0,0.0,0.0,,,
M6B,0.0,0.12,0.96,0.04,0.0,0.0,1.0,0.0,0.0,,,
M6C,0.0,0.4375,0.828125,0.03125,0.0,0.015625,1.0,0.015625,0.0,,,
M6E,0.02631578947368421,0.3157894736842105,0.7894736842105263,0.07894736842105263,0.0,0.02631578947368421,1.0,0.02631578947368421,0.02631578947368421,,,
